360.0000000 0.6494097 0.6494116 0.6494179
360.1000000 0.6496911 0.6496930 0.6496993
360.2000000 0.6499751 0.6499762 0.6499799
360.3000000 0.6502568 0.6502568 0.6502568
360.4000000 0.6505182 0.6505182 0.6505182
360.5000000 0.6508001 0.6508001 0.6508001
360.6000000 0.6510882 0.6510882 0.6510882
360.7000000 0.6513760 0.6513760 0.6513760
360.8000000 0.6516993 0.6517006 0.6517048
360.9000000 0.6520160 0.6520173 0.6520214
361.0000000 0.6523266 0.6523268 0.6523272
361.1000000 0.6526564 0.6526579 0.6526627
361.2000000 0.6529887 0.6529906 0.6529967
361.3000000 0.6533290 0.6533304 0.6533353
361.4000000 0.6536875 0.6536877 0.6536883
361.5000000 0.6540304 0.6540304 0.6540304
361.6000000 0.6543871 0.6543876 0.6543892
361.7000000 0.6547651 0.6547666 0.6547716
361.8000000 0.6551281 0.6551286 0.6551300
361.9000000 0.6554945 0.6554945 0.6554945
362.0000000 0.6558635 0.6558635 0.6558635
362.1000000 0.6562347 0.6562349 0.6562349
362.2000000 0.6565912 0.6565912 0.6565912
362.3000000 0.6569537 0.6569539 0.6569539
362.4000000 0.6573371 0.6573379 0.6573379
362.5000000 0.6576787 0.6576790 0.6576790
362.6000000 0.6580257 0.6580257 0.6580257
362.7000000 0.6583825 0.6583825 0.6583825
362.8000000 0.6587460 0.6587465 0.6587467
362.9000000 0.6590922 0.6590926 0.6590927
363.0000000 0.6594284 0.6594285 0.6594288
363.1000000 0.6597619 0.6597624 0.6597641
363.2000000 0.6600883 0.6600889 0.6600908
363.3000000 0.6604130 0.6604135 0.6604152
363.4000000 0.6607375 0.6607380 0.6607396
363.5000000 0.6610503 0.6610504 0.6610509
363.6000000 0.6613710 0.6613712 0.6613716
363.7000000 0.6616966 0.6616969 0.6616981
363.8000000 0.6619986 0.6619987 0.6619990
363.9000000 0.6623107 0.6623109 0.6623113
364.0000000 0.6626201 0.6626203 0.6626212
364.1000000 0.6629075 0.6629075 0.6629076
364.2000000 0.6631874 0.6631874 0.6631874
364.3000000 0.6634752 0.6634752 0.6634752
364.4000000 0.6637774 0.6637777 0.6637778
364.5000000 0.6640660 0.6640662 0.6640667
364.6000000 0.6643520 0.6643522 0.6643528
364.7000000 0.6646360 0.6646362 0.6646367
364.8000000 0.6649198 0.6649199 0.6649200
364.9000000 0.6652204 0.6652205 0.6652207
365.0000000 0.6655237 0.6655238 0.6655242
365.1000000 0.6658111 0.6658111 0.6658112
365.2000000 0.6660887 0.6660887 0.6660887
365.3000000 0.6663778 0.6663778 0.6663778
365.4000000 0.6666887 0.6666887 0.6666887
365.5000000 0.6670017 0.6670018 0.6670020
365.6000000 0.6672964 0.6672965 0.6672968
365.7000000 0.6675739 0.6675740 0.6675743
365.8000000 0.6678523 0.6678524 0.6678527
365.9000000 0.6681347 0.6681348 0.6681349
366.0000000 0.6684169 0.6684169 0.6684169
366.1000000 0.6686900 0.6686900 0.6686900
366.2000000 0.6689628 0.6689628 0.6689628
366.3000000 0.6692353 0.6692353 0.6692353
366.4000000 0.6695076 0.6695076 0.6695076
366.5000000 0.6697795 0.6697795 0.6697795
366.6000000 0.6700512 0.6700512 0.6700512
366.7000000 0.6703233 0.6703233 0.6703233
366.8000000 0.6706161 0.6706161 0.6706162
366.9000000 0.6708983 0.6708983 0.6708984
367.0000000 0.6711724 0.6711725 0.6711726
367.1000000 0.6714427 0.6714427 0.6714428
367.2000000 0.6717127 0.6717127 0.6717128
367.3000000 0.6719824 0.6719824 0.6719825
367.4000000 0.6722519 0.6722519 0.6722520
367.5000000 0.6725210 0.6725210 0.6725211
367.6000000 0.6727899 0.6727899 0.6727900
367.7000000 0.6730586 0.6730586 0.6730587
367.8000000 0.6733269 0.6733269 0.6733269
367.9000000 0.6735949 0.6735949 0.6735950
368.0000000 0.6738628 0.6738628 0.6738628
368.1000000 0.6741302 0.6741302 0.6741303
368.2000000 0.6743974 0.6743974 0.6743975
368.3000000 0.6746644 0.6746644 0.6746645
368.4000000 0.6749311 0.6749311 0.6749311
368.5000000 0.6751974 0.6751974 0.6751975
368.6000000 0.6754636 0.6754636 0.6754636
368.7000000 0.6757294 0.6757294 0.6757295
368.8000000 0.6759950 0.6759950 0.6759950
368.9000000 0.6762603 0.6762603 0.6762603
369.0000000 0.6765253 0.6765253 0.6765254
369.1000000 0.6767900 0.6767900 0.6767901
369.2000000 0.6770545 0.6770545 0.6770545
369.3000000 0.6773187 0.6773187 0.6773188
369.4000000 0.6775826 0.6775826 0.6775827
369.5000000 0.6778462 0.6778462 0.6778463
369.6000000 0.6781096 0.6781096 0.6781097
369.7000000 0.6783727 0.6783727 0.6783728
369.8000000 0.6786355 0.6786355 0.6786356
369.9000000 0.6788981 0.6788981 0.6788981
370.0000000 0.6791604 0.6791604 0.6791604
370.1000000 0.6794223 0.6794223 0.6794224
370.2000000 0.6796841 0.6796841 0.6796841
370.3000000 0.6799456 0.6799456 0.6799456
370.4000000 0.6802067 0.6802067 0.6802068
370.5000000 0.6804676 0.6804676 0.6804677
370.6000000 0.6807283 0.6807283 0.6807284
370.7000000 0.6809886 0.6809886 0.6809887
370.8000000 0.6812487 0.6812487 0.6812488
370.9000000 0.6815086 0.6815086 0.6815087
371.0000000 0.6817681 0.6817681 0.6817682
371.1000000 0.6820274 0.6820274 0.6820275
371.2000000 0.6822865 0.6822865 0.6822865
371.3000000 0.6825452 0.6825452 0.6825453
371.4000000 0.6828037 0.6828037 0.6828037
371.5000000 0.6830619 0.6830619 0.6830620
