360  0.936  0.523  0.570  0.000  0.548  0.475
370  0.941  0.594  0.605  0.000  0.573  0.522
400  0.959  0.767  0.688  0.416  0.605  0.573
482  0.937  0.856  0.784  0.405  0.606  0.560
626  0.954  0.803  0.849  0.483  0.612  0.608
767  0.954  0.824  0.865  0.448  0.633  0.628
900  0.970  0.849  0.871  0.499  0.654  0.622
910  0.968  0.849  0.871  0.000  0.656  0.595
950  0.958  0.847  0.862  0.000  0.662  0.490

