======================================================
The calculation Signal-to-Noise vs. Magnitude

Resolution Mode   = Low Resolution
Airmass           = 1.0
PWV [mm]          = 1.0
Exposure Time [s] = 1200
Exposure Number   = 1
Magnitude Range [mag] : 18.00 - 26.00

Band	 Sky
[Blue]	 20.70
[Green]	 20.70
[Red]	 20.70
[NIR]	 20.70

========== Plot data ==========
Point Target Magnitude[ABmag]	SNR_Blue	SNR_Green	SNR_Red	SNR_NIR
18.000	129.159	113.666	126.104	112.606
18.100	122.581	107.836	119.705	106.726
18.200	116.279	102.249	113.573	101.093
18.300	110.241	96.896	107.698	95.696
18.400	104.455	91.768	102.069	90.527
18.500	98.912	86.855	96.676	85.575
18.600	93.601	82.148	91.509	80.834
18.700	88.515	77.641	86.559	76.295
18.800	83.643	73.325	81.818	71.952
18.900	78.979	69.194	77.279	67.798
19.000	74.515	65.242	72.934	63.827
19.100	70.245	61.462	68.776	60.033
19.200	66.161	57.849	64.800	56.410
19.300	62.258	54.397	60.999	52.955
19.400	58.531	51.103	57.367	49.661
19.500	54.973	47.960	53.900	46.525
19.600	51.580	44.966	50.593	43.541
19.700	48.348	42.115	47.442	40.706
19.800	45.272	39.404	44.441	38.015
19.900	42.347	36.829	41.586	35.465
20.000	39.570	34.385	38.874	33.051
20.100	36.935	32.070	36.301	30.768
20.200	34.440	29.879	33.862	28.614
20.300	32.079	27.809	31.553	26.583
20.400	29.849	25.855	29.371	24.671
20.500	27.745	24.013	27.312	22.874
20.600	25.763	22.281	25.370	21.188
20.700	23.898	20.653	23.543	19.607
20.800	22.147	19.126	21.827	18.129
20.900	20.505	17.696	20.215	16.747
21.000	18.968	16.357	18.706	15.457
21.100	17.530	15.107	17.294	14.256
21.200	16.187	13.941	15.974	13.138
21.300	14.935	12.855	14.743	12.098
21.400	13.769	11.845	13.596	11.134
21.500	12.684	10.906	12.528	10.239
21.600	11.677	10.035	11.537	9.411
21.700	10.743	9.227	10.616	8.645
21.800	9.877	8.480	9.763	7.937
21.900	9.075	7.788	8.972	7.283
22.000	8.334	7.149	8.241	6.680
22.100	7.649	6.559	7.566	6.124
22.200	7.018	6.016	6.942	5.612
22.300	6.435	5.514	6.367	5.141
22.400	5.898	5.053	5.837	4.708
22.500	5.404	4.628	5.349	4.309
22.600	4.950	4.238	4.900	3.944
22.700	4.532	3.879	4.487	3.608
22.800	4.148	3.550	4.107	3.300
22.900	3.795	3.247	3.758	3.018
23.000	3.472	2.970	3.438	2.759
23.100	3.175	2.716	3.145	2.522
23.200	2.903	2.483	2.876	2.305
23.300	2.654	2.269	2.629	2.106
23.400	2.426	2.074	2.403	1.924
23.500	2.217	1.895	2.196	1.757
23.600	2.025	1.731	2.006	1.605
23.700	1.850	1.581	1.833	1.466
23.800	1.690	1.444	1.674	1.338
23.900	1.543	1.319	1.529	1.222
24.000	1.409	1.204	1.396	1.115
24.100	1.287	1.099	1.275	1.018
24.200	1.175	1.003	1.164	0.929
24.300	1.072	0.916	1.063	0.848
24.400	0.979	0.836	0.970	0.774
24.500	0.893	0.763	0.886	0.707
24.600	0.815	0.696	0.808	0.645
24.700	0.744	0.636	0.738	0.588
24.800	0.679	0.580	0.673	0.537
24.900	0.620	0.529	0.614	0.490
25.000	0.565	0.483	0.560	0.447
25.100	0.516	0.441	0.511	0.408
25.200	0.471	0.402	0.467	0.372
25.300	0.429	0.367	0.426	0.339
25.400	0.392	0.335	0.388	0.310
25.500	0.357	0.305	0.354	0.282
25.600	0.326	0.278	0.323	0.258
25.700	0.297	0.254	0.295	0.235
25.800	0.271	0.232	0.269	0.214
25.900	0.248	0.211	0.245	0.196
26.000	0.226	0.193	0.224	0.178
26.100	0.206	0.176	0.204	0.163
